OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,AdmUnitId,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,39539,2021/02/13 23:00:00+00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1361.64224958356,1126,57.2014410217328,1661,7,"57,2",1,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,48865,2021/02/13 23:00:00+00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},2645.279233543,1196,62.0380640875938,1146,0,"62,0",2,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,153187,2021/02/13 23:00:00+00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},1916.36867857418,3836,58.2840689711079,4659,16,"58,3",3,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,16909,2021/02/13 23:00:00+00,04,{4132268B-54DE-4327-AC1E-760E915112F1},2482.22994060499,310,58.7197336472882,400,2,"58,7",4,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,509494,2021/02/13 23:00:00+00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},2838.84619239937,12096,54.1253712761435,9714,49,"54,1",5,19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,180444,2021/02/13 23:00:00+00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},2869.61997938958,5448,54.9611328100151,3456,21,"55,0",6,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,97640,2021/02/13 23:00:00+00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2385.01009916454,2877,46.5814651690575,1907,4,"46,6",7,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,305815,2021/02/13 23:00:00+00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},2754.99230027331,7741,48.538817631158,5388,18,"48,5",8,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,420472,2021/02/13 23:00:00+00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},3203.66038572811,11679,55.5820661396872,7295,26,"55,6",9,29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,27593,2021/02/13 23:00:00+00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},2795.96346896858,817,71.842064998323,709,1,"71,8",10,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,124711,2021/02/13 23:00:00+00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},3398.59124875902,2604,57.2286456077968,2100,10,"57,2",11,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,73087,2021/02/13 23:00:00+00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},2898.10075209376,2790,71.5335662536039,1804,14,"71,5",12,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,22276,2021/02/13 23:00:00+00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1385.2045035936,628,66.5987620465408,1071,6,"66,6",13,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,187317,2021/02/13 23:00:00+00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},4600.15555120604,7127,65.0299326787936,2648,9,"65,0",14,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,56457,2021/02/13 23:00:00+00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},2572.32836791991,2109,76.3173745729644,1675,18,"76,3",15,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,70755,2021/02/13 23:00:00+00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},3316.57118429083,2576,97.5917066736415,2082,11,"97,6",16,15.0324529635839,2.07032354616438
