date	dosen_kumulativ	dosen_differenz_zum_vortag	dosen_erst_differenz_zum_vortag	dosen_zweit_differenz_zum_vortag	dosen_biontech_kumulativ	dosen_moderna_kumulativ	dosen_astrazeneca_kumulativ	personen_erst_kumulativ	personen_voll_kumulativ	impf_quote_erst	impf_quote_voll	indikation_alter_dosen	indikation_beruf_dosen	indikation_medizinisch_dosen	indikation_pflegeheim_dosen	indikation_alter_erst	indikation_beruf_erst	indikation_medizinisch_erst	indikation_pflegeheim_erst	indikation_alter_voll	indikation_beruf_voll	indikation_medizinisch_voll	indikation_pflegeheim_voll
2020-12-27	23429	23429	23429	0	23429	0	0	23429	0	0.00028	0.00000	8569	7727	1280	13029	8569	7727	1280	13029	0	0	0	0
2020-12-28	42071	18642	18642	0	42071	0	0	42071	0	0.00051	0.00000	16345	14994	2010	21867	16345	14994	2010	21867	0	0	0	0
2020-12-29	84516	42445	42445	0	84516	0	0	84516	0	0.00102	0.00000	28535	36519	3088	38332	28535	36519	3088	38332	0	0	0	0
2020-12-30	142212	57696	57696	0	142212	0	0	142212	0	0.00171	0.00000	45792	67777	4687	59160	45792	67777	4687	59160	0	0	0	0
2020-12-31	180327	38115	38115	0	180327	0	0	180327	0	0.00217	0.00000	58664	86234	6499	74290	58664	86234	6499	74290	0	0	0	0
2021-01-01	204784	24457	24457	0	204784	0	0	204784	0	0.00246	0.00000	66316	96009	7590	86822	66316	96009	7590	86822	0	0	0	0
2021-01-02	256063	51279	51279	0	256063	0	0	256063	0	0.00308	0.00000	85490	119189	10069	107791	85490	119189	10069	107791	0	0	0	0
2021-01-03	281307	25244	25244	0	281307	0	0	281307	0	0.00338	0.00000	95319	130299	10999	118520	95319	130299	10999	118520	0	0	0	0
2021-01-04	329640	48333	48333	0	329640	0	0	329640	0	0.00396	0.00000	109558	154918	13657	134249	109558	154918	13657	134249	0	0	0	0
2021-01-05	381930	52290	52290	0	381930	0	0	381930	0	0.00459	0.00000	124799	181952	16088	152482	124799	181952	16088	152482	0	0	0	0
2021-01-06	440085	58155	58155	0	440085	0	0	440085	0	0.00529	0.00000	141237	212082	19478	173099	141237	212082	19478	173099	0	0	0	0
2021-01-07	498519	58434	58434	0	498519	0	0	498519	0	0.00599	0.00000	157919	242084	22487	191011	157919	242084	22487	191011	0	0	0	0
2021-01-08	558521	60002	60002	0	558517	0	4	558521	0	0.00672	0.00000	176338	273030	25781	210742	176338	273030	25781	210742	0	0	0	0
2021-01-09	615235	56714	56714	0	615231	0	4	615235	0	0.00740	0.00000	197599	297065	28056	233721	197599	297065	28056	233721	0	0	0	0
2021-01-10	648465	33230	33230	0	648461	0	4	648465	0	0.00780	0.00000	210805	311118	29380	245740	210805	311118	29380	245740	0	0	0	0
2021-01-11	714100	65635	65635	0	714096	0	4	714100	0	0.00859	0.00000	233360	342377	32253	265799	233360	342377	32253	265799	0	0	0	0
2021-01-12	796157	82057	82057	0	796153	0	4	796157	0	0.00957	0.00000	258774	384689	35449	290191	258774	384689	35449	290191	0	0	0	0
2021-01-13	894573	98416	98416	0	893774	795	4	894573	0	0.01076	0.00000	289653	435784	38408	317655	289653	435784	38408	317655	0	0	0	0
2021-01-14	994737	100164	100035	129	989901	4832	4	994608	129	0.01196	0.00000	314738	485976	40154	348459	314670	485973	40154	348459	68	3	0	0
