OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,AdmUnitId,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,51199,2021/04/05 21:59:59+00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1763.18878920632,1443,66.5685644160201,1933,3,"66,6",1,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,63205,2021/04/05 21:59:59+00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},3421.56705118357,1398,136.797720723691,2527,2,"136,8",2,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,203209,2021/04/05 21:59:59+00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},2542.14367279456,4911,95.6889554754249,7649,6,"95,7",3,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,21512,2021/04/05 21:59:59+00,04,{4132268B-54DE-4327-AC1E-760E915112F1},3157.94727555116,409,116.558671289867,794,1,"116,6",4,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,627782,2021/04/05 21:59:59+00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},3497.93430414659,14344,120.971374899769,21711,25,"121,0",5,19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,225220,2021/04/05 21:59:59+00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},3581.69743387489,6381,132.965865574229,8361,10,"133,0",6,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,119748,2021/04/05 21:59:59+00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2925.03266442805,3343,104.008326528499,4258,2,"104,0",7,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,373135,2021/04/05 21:59:59+00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},3361.45725998555,8761,116.7255864972,12957,8,"116,7",8,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,511193,2021/04/05 21:59:59+00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},3894.88185553737,13343,128.916868962784,16920,25,"128,9",9,29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,32430,2021/04/05 21:59:59+00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},3286.0905047893,927,85.7241001249383,846,3,"85,7",10,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,149228,2021/04/05 21:59:59+00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},4066.72206036205,3085,114.566298159609,4204,2,"114,6",11,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,90272,2021/04/05 21:59:59+00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},3579.53331088988,3322,127.166378589417,3207,1,"127,2",12,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,31730,2021/04/05 21:59:59+00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1973.08937417062,877,94.2705165850195,1516,1,"94,3",13,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,227351,2021/04/05 21:59:59+00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},5583.31579473429,8433,180.723291005756,7359,0,"180,7",14,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,75564,2021/04/05 21:59:59+00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},3442.89318939193,2733,155.869694575589,3421,4,"155,9",15,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,97990,2021/04/05 21:59:59+00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},4593.18508018738,3393,216.557965817591,4620,7,"216,6",16,15.0324529635839,2.07032354616438
