OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,35717,2021/01/29 23:00:00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1230.02039071236,853,84.0286069193425,2440,13,"84,0",20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,46015,2021/01/29 23:00:00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},2490.99608986966,1066,82.3926121651988,1522,6,"82,4",3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,141085,2021/01/29 23:00:00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},1764.97271319784,3253,70.6939844936104,5651,27,"70,7",29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,15885,2021/01/29 23:00:00,04,{4132268B-54DE-4327-AC1E-760E915112F1},2331.90742246793,266,82.3544264403217,561,2,"82,4",2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,483456,2021/01/29 23:00:00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},2693.76523529743,10717,85.9241661982097,15421,57,"85,9",19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,170883,2021/01/29 23:00:00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},2717.5703871452,4786,90.8385389498861,5712,37,"90,8",15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,91711,2021/01/29 23:00:00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2240.18497751412,2450,67.7348730539048,2773,12,"67,7",13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,291818,2021/01/29 23:00:00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},2628.89767696534,7013,74.6550077411667,8287,20,"74,7",18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,400504,2021/01/29 23:00:00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},3051.52019427132,10344,91.1027779070925,11957,44,"91,1",29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,25450,2021/01/29 23:00:00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},2578.81601439679,731,112.373554419098,1109,4,"112,4",4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,119514,2021/01/29 23:00:00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},3256.96397674773,2238,82.6545152992609,3033,14,"82,7",2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,67836,2021/01/29 23:00:00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},2689.88414655182,2263,134.938318160207,3403,38,"134,9",18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,19682,2021/01/29 23:00:00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1223.89993893559,443,96.9444164617713,1559,15,"96,9",30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,179153,2021/01/29 23:00:00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},4399.66296420087,6254,124.804425178863,5082,19,"124,8",15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,51521,2021/01/29 23:00:00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},2347.43131664101,1705,161.656146259629,3548,85,"161,7",14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,64941,2021/01/29 23:00:00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},3044.04564029441,2164,164.480931180503,3509,26,"164,5",15.0324529635839,2.07032354616438
