OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,AdmUnitId,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,37359,2021/02/04 23:00:00+00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1286.56751061464,985,66.9818198598857,1945,13,"67,0",1,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,47191,2021/02/04 23:00:00+00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},2554.65818704855,1120,63.6079627425155,1175,5,"63,6",2,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,146205,2021/02/04 23:00:00+00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},1829.02389008818,3509,68.6923852157874,5491,23,"68,7",3,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,16355,2021/02/04 23:00:00+00,04,{4132268B-54DE-4327-AC1E-760E915112F1},2400.9031095035,285,89.8411924803509,612,1,"89,8",4,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,495483,2021/02/04 23:00:00+00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},2760.77839571932,11386,77.6610484709583,13938,44,"77,7",5,19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,175378,2021/02/04 23:00:00+00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},2789.05484663045,5114,83.9683973486342,5280,32,"84,0",6,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,94801,2021/02/04 23:00:00+00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2315.66307262287,2685,67.2463416939776,2753,14,"67,2",7,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,297994,2021/02/04 23:00:00+00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},2684.5353417185,7341,63.9166501657509,7095,24,"63,9",8,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,410005,2021/02/04 23:00:00+00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},3123.91021625805,11023,81.6244927422165,10713,33,"81,6",9,29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,26500,2021/02/04 23:00:00+00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},2685.21117412632,766,117.338661873143,1158,1,"117,3",10,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,121878,2021/02/04 23:00:00+00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},3321.38708066051,2420,71.6720656897646,2630,14,"71,7",11,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,70233,2021/02/04 23:00:00+00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},2784.93179528235,2539,97.3475083994444,2455,26,"97,3",12,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,20849,2021/02/04 23:00:00+00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1296.46833791627,520,86.9950215715318,1399,14,"87,0",13,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,183110,2021/02/04 23:00:00+00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},4496.83949124392,6659,100.590107346049,4096,15,"100,6",14,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,53825,2021/02/04 23:00:00+00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},2452.40757396407,1922,118.781728663712,2607,54,"118,8",15,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,67743,2021/02/04 23:00:00+00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},3175.38664034222,2323,146.293811973312,3121,26,"146,3",16,15.0324529635839,2.07032354616438
