OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,31391,2021/01/18 23:00:00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1081.0418031988,675,87.3690884239229,2537,8,"87,4",20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,43077,2021/01/18 23:00:00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},2331.94911579518,917,93.3277683132738,1724,10,"93,3",3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,129566,2021/01/18 23:00:00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},1620.87007519008,2685,98.1909545727036,7849,31,"98,2",29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,14960,2021/01/18 23:00:00,04,{4132268B-54DE-4327-AC1E-760E915112F1},2196.11803840858,237,83.235222445031,567,4,"83,2",2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,453576,2021/01/18 23:00:00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},2527.27706423184,9306,117.689529760624,21122,129,"117,7",19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,159409,2021/01/18 23:00:00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},2535.09815396751,4072,124.918894161652,7855,55,"124,9",15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,85559,2021/01/18 23:00:00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2089.91273120052,2104,106.426556760138,4357,17,"106,4",13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,275442,2021/01/18 23:00:00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},2481.37138195275,6219,112.419433039944,12479,53,"112,4",18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,377918,2021/01/18 23:00:00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},2879.43293644665,8929,136.132251640547,17867,71,"136,1",29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,23204,2021/01/18 23:00:00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},2351.23170129914,628,106.091173558878,1047,5,"106,1",4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,113055,2021/01/18 23:00:00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},3080.94501389975,1860,137.839280706779,5058,28,"137,8",2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,58646,2021/01/18 23:00:00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},2325.47534728872,1667,225.425900305842,5685,68,"225,4",18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,16902,2021/01/18 23:00:00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1051.02920271768,310,118.833085220298,1911,9,"118,8",30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,167685,2021/01/18 23:00:00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},4118.03031013728,5156,225.664671973351,9189,22,"225,7",15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,43612,2021/01/18 23:00:00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},1987.07662082157,1181,211.911706948572,4651,86,"211,9",14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,58026,2021/01/18 23:00:00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},2719.91180184665,1676,256.260259550816,5467,42,"256,3",15.0324529635839,2.07032354616438
