date	dosen_kumulativ	dosen_differenz_zum_vortag	dosen_erst_differenz_zum_vortag	dosen_zweit_differenz_zum_vortag	dosen_biontech_kumulativ	dosen_moderna_kumulativ	personen_erst_kumulativ	personen_voll_kumulativ	impf_quote_erst	impf_quote_voll	indikation_alter_dosen	indikation_beruf_dosen	indikation_medizinisch_dosen	indikation_pflegeheim_dosen	indikation_alter_erst	indikation_beruf_erst	indikation_medizinisch_erst	indikation_pflegeheim_erst	indikation_alter_voll	indikation_beruf_voll	indikation_medizinisch_voll	indikation_pflegeheim_voll
2020-12-27	23898	23898	23898	0	23898	0	23898	0	0.00029	0.00000	8507	7859	1280	13362	8507	7859	1280	13362	0	0	0	0
2020-12-28	43734	19836	19836	0	43734	0	43734	0	0.00053	0.00000	16289	15316	2010	23187	16289	15316	2010	23187	0	0	0	0
2020-12-29	87151	43417	43417	0	87151	0	87151	0	0.00105	0.00000	28460	37021	3089	40433	28460	37021	3089	40433	0	0	0	0
2020-12-30	144907	57756	57756	0	144907	0	144907	0	0.00174	0.00000	45710	68226	4688	61371	45710	68226	4688	61371	0	0	0	0
2020-12-31	182965	38058	38058	0	182965	0	182965	0	0.00220	0.00000	58583	86625	6500	76501	58583	86625	6500	76501	0	0	0	0
2021-01-01	207458	24493	24493	0	207458	0	207458	0	0.00249	0.00000	66265	96401	7591	89068	66265	96401	7591	89068	0	0	0	0
2021-01-02	258228	50770	50770	0	258228	0	258228	0	0.00310	0.00000	85186	119346	10036	109820	85186	119346	10036	109820	0	0	0	0
2021-01-03	283387	25159	25159	0	283387	0	283387	0	0.00341	0.00000	94982	130409	10965	120516	94982	130409	10965	120516	0	0	0	0
2021-01-04	332275	48888	48888	0	332275	0	332275	0	0.00400	0.00000	109225	155338	13614	136520	109225	155338	13614	136520	0	0	0	0
2021-01-05	384411	52136	52136	0	384411	0	384411	0	0.00462	0.00000	124509	182250	16015	154814	124509	182250	16015	154814	0	0	0	0
2021-01-06	442822	58411	58411	0	442822	0	442822	0	0.00532	0.00000	141004	212591	19389	175519	141004	212591	19389	175519	0	0	0	0
2021-01-07	501307	58485	58485	0	501307	0	501307	0	0.00603	0.00000	157689	242549	22372	193485	157689	242549	22372	193485	0	0	0	0
2021-01-08	561257	59950	59950	0	561257	0	561257	0	0.00675	0.00000	176146	273399	25662	213252	176146	273399	25662	213252	0	0	0	0
2021-01-09	617747	56490	56490	0	617747	0	617747	0	0.00743	0.00000	197403	297268	27937	236171	197403	297268	27937	236171	0	0	0	0
2021-01-10	650983	33236	33236	0	650983	0	650983	0	0.00783	0.00000	210615	311320	29262	248200	210615	311320	29262	248200	0	0	0	0
2021-01-11	716627	65644	65644	0	716627	0	716627	0	0.00862	0.00000	233212	342497	32133	268364	233212	342497	32133	268364	0	0	0	0
2021-01-12	798485	81858	81858	0	798485	0	798485	0	0.00960	0.00000	258621	384743	35336	292606	258621	384743	35336	292606	0	0	0	0
2021-01-13	896659	98174	98174	0	895865	794	896659	0	0.01078	0.00000	289427	435711	38227	319990	289427	435711	38227	319990	0	0	0	0
2021-01-14	997037	100378	100245	133	992117	4920	996904	133	0.01199	0.00000	314508	485613	39905	350499	314438	485610	39905	350499	70	3	0	0
2021-01-15	1089844	92807	92363	444	1080038	9806	1089267	577	0.01310	0.00001	343260	531533	43061	376746	343054	531500	43060	376710	206	33	1	36
2021-01-16	1146650	56806	56384	422	1134993	11657	1145651	999	0.01378	0.00001	362973	555655	44759	395028	362553	555528	44697	394804	420	127	62	224
2021-01-17	1191479	44829	31220	13609	1178407	13072	1176871	14608	0.01415	0.00018	378894	574554	46302	411555	372134	569559	45645	403406	6760	4995	657	8149
2021-01-18	1265619	74140	57680	16460	1250534	15085	1234551	31068	0.01484	0.00037	405269	609302	47964	430573	393093	597382	47109	415498	12176	11920	855	15075
2021-01-19	1359519	93900	66681	27219	1342859	16660	1301232	58287	0.01565	0.00070	436622	656353	50791	455836	415391	631482	49354	430525	21231	24871	1437	25311
2021-01-20	1487398	127879	77491	50388	1469409	17989	1378723	108675	0.01658	0.00131	477544	717792	54531	496661	441611	667751	52241	451592	35933	50041	2290	45069
2021-01-21	1581563	94165	59843	34322	1562477	19086	1438566	142997	0.01730	0.00172	513636	758639	59998	525658	465209	693669	55301	467705	48427	64970	4697	57953
2021-01-22	1695376	113813	83305	30508	1674861	20515	1521871	173505	0.01830	0.00209	553710	809265	63241	566093	493096	730314	57774	493831	60614	78951	5467	72262
2021-01-23	1786215	90839	48187	42652	1765317	20898	1570058	216157	0.01888	0.00260	587407	848846	66391	596602	511361	749796	58941	507292	76046	99050	7450	89310
2021-01-24	1851790	65575	37895	27680	1830648	21142	1607953	243837	0.01933	0.00293	609612	875489	67180	620334	524666	764637	59266	519062	84946	110852	7914	101272
2021-01-25	1948061	96271	57229	39042	1925399	22662	1665182	282879	0.02002	0.00340	648965	917415	70436	645373	552165	786363	60801	531347	96800	131052	9635	114026
2021-01-26	2049404	101343	53045	48298	2025154	24250	1718227	331177	0.02066	0.00398	686841	964274	74058	672360	576916	806668	62098	543136	109925	157606	11960	129224
2021-01-27	2159706	110302	53638	56664	2133549	26157	1771865	387841	0.02130	0.00466	726220	1017254	78993	702581	600015	828773	63877	554960	126205	188481	15116	147621
2021-01-28	2258631	98925	51413	47512	2225994	32637	1823278	435353	0.02192	0.00523	762446	1065060	82998	728067	621607	851661	65396	566560	140839	213399	17602	161507
2021-01-29	2366458	107827	56316	51511	2332418	34040	1879594	486864	0.02260	0.00585	802401	1115195	88205	754999	643920	875638	67664	577092	158481	239557	20541	177907
2021-01-30	2449931	83473	37759	45714	2415086	34845	1917353	532578	0.02305	0.00640	834053	1153908	91818	778940	659115	893272	69047	584532	174938	260636	22771	194408
2021-01-31	2512113	62182	31124	31058	2476925	35188	1948477	563636	0.02343	0.00678	857382	1182048	93847	794470	672576	907461	70205	590227	184806	274587	23642	204243
2021-02-01	2624051	111938	47328	64610	2587286	36765	1995805	628246	0.02400	0.00755	897089	1236881	97281	822444	691852	930021	71940	599708	205237	306860	25341	222736
2021-02-02	2745944	121893	54631	67262	2707153	38791	2050436	695508	0.02465	0.00836	937012	1299527	102046	853304	709933	960261	74343	609038	227079	339266	27703	244266
2021-02-03	2870810	124866	51046	73820	2826880	43930	2101482	769328	0.02527	0.00925	984900	1357244	106378	885121	731115	983150	76190	618548	253785	374094	30188	266573
2021-02-04	2987398	116588	51518	65070	2940357	47041	2153000	834398	0.02589	0.01003	1027594	1412509	110467	913990	751469	1008877	78284	626939	276125	403632	32183	287051
